Type,OID,OID (bin),POS (BIN),POS,Diff
O,4827,0001001011011011,0000000010000101,133,4694
O,4828,0001001011011100,0000000010000110,134,4694
O,4829,0001001011011101,0000000010000111,135,4694
O,4830,0001001011011110,0000000010001000,136,4694
O,4831,0001001011011111,0000000010001001,137,4694
O,4832,0001001011100000,0000000010001010,138,4694
O,4833,0001001011100001,0000000010001011,139,4694
O,4834,0001001011100010,0000000010001100,140,4694
O,4835,0001001011100011,0000000010001101,141,4694
O,4836,0001001011100100,0000000010001110,142,4694
O,4837,0001001011100101,0000000010001111,143,4694
O,4838,0001001011100110,0000000010010000,144,4694
O,4839,0001001011100111,0000000010010001,145,4694
O,4840,0001001011101000,0000000010010010,146,4694
O,4841,0001001011101001,0000000010010011,147,4694
O,4842,0001001011101010,0000000010010100,148,4694
O,4843,0001001011101011,0000000010010101,149,4694
O,4844,0001001011101100,0000000010010110,150,4694
O,4845,0001001011101101,0000000010010111,151,4694
O,4846,0001001011101110,0000000010011000,152,4694
O,4847,0001001011101111,0000000010011001,153,4694
O,4848,0001001011110000,0000000010011010,154,4694
O,4849,0001001011110001,0000000010011011,155,4694
O,4850,0001001011110010,0000000010011100,156,4694
O,4851,0001001011110011,0000000010011101,157,4694
O,4852,0001001011110100,0000000010011110,158,4694
O,4853,0001001011110101,0000000010011111,159,4694
O,4854,0001001011110110,0000000010100000,160,4694
O,4855,0001001011110111,0000000010100001,161,4694
O,4856,0001001011111000,0000000010100010,162,4694
O,4857,0001001011111001,0000000010100011,163,4694
O,4858,0001001011111010,0000000010100100,164,4694
O,4859,0001001011111011,0000000010100101,165,4694
O,4860,0001001011111100,0000000010100110,166,4694
O,4861,0001001011111101,0000000010100111,167,4694
O,4862,0001001011111110,0000000010101000,168,4694
O,4863,0001001011111111,0000000010101001,169,4694
O,4864,0001001100000000,0000000010101010,170,4694
O,4865,0001001100000001,0000000010101011,171,4694
O,4866,0001001100000010,0000000010101100,172,4694
O,4867,0001001100000011,0000000010101101,173,4694
O,4868,0001001100000100,0000000010101110,174,4694
