Type,OID,OID (bin),POS (BIN),POS,Diff
O,6385,0001100011110001,0000011100101000,1832,4553
O,6386,0001100011110010,0000011100101001,1833,4553
O,6387,0001100011110011,0000011100101010,1834,4553
O,6388,0001100011110100,0000011100101011,1835,4553
O,6389,0001100011110101,0000011100101100,1836,4553
O,6390,0001100011110110,0000011100101101,1837,4553
O,6391,0001100011110111,0000011100101110,1838,4553
O,6392,0001100011111000,0000011100101111,1839,4553
O,6393,0001100011111001,0000011100110000,1840,4553
M,163,0000000010100011,0000011100110001,1841,-1678
O,6394,0001100011111010,0000011100110010,1842,4552
O,6395,0001100011111011,0000011100110011,1843,4552
O,6396,0001100011111100,0000011100110100,1844,4552
O,6397,0001100011111101,0000011100110101,1845,4552
O,6398,0001100011111110,0000011100110110,1846,4552
O,6399,0001100011111111,0000011100110111,1847,4552
O,6400,0001100100000000,0000011100111000,1848,4552
O,6401,0001100100000001,0000011100111001,1849,4552
O,6402,0001100100000010,0000011100111010,1850,4552
O,6403,0001100100000011,0000011100111011,1851,4552
O,6404,0001100100000100,0000011100111100,1852,4552
O,6405,0001100100000101,0000011100111101,1853,4552
O,6406,0001100100000110,0000011100111110,1854,4552
O,6407,0001100100000111,0000011100111111,1855,4552
O,6408,0001100100001000,0000011101000000,1856,4552
O,6409,0001100100001001,0000011101000001,1857,4552
O,6410,0001100100001010,0000011101000010,1858,4552
O,6411,0001100100001011,0000011101000011,1859,4552
O,6412,0001100100001100,0000011101000100,1860,4552
O,6413,0001100100001101,0000011101000101,1861,4552
O,6414,0001100100001110,0000011101000110,1862,4552
O,6415,0001100100001111,0000011101000111,1863,4552
O,6416,0001100100010000,0000011101001000,1864,4552
O,6417,0001100100010001,0000011101001001,1865,4552
O,6418,0001100100010010,0000011101001010,1866,4552
O,6419,0001100100010011,0000011101001011,1867,4552
O,6420,0001100100010100,0000011101001100,1868,4552
O,6421,0001100100010101,0000011101001101,1869,4552
O,6422,0001100100010110,0000011101001110,1870,4552
O,6423,0001100100010111,0000011101001111,1871,4552
O,6424,0001100100011000,0000011101010000,1872,4552
O,6425,0001100100011001,0000011101010001,1873,4552
O,6426,0001100100011010,0000011101010010,1874,4552
O,6427,0001100100011011,0000011101010011,1875,4552
O,6428,0001100100011100,0000011101010100,1876,4552
O,6429,0001100100011101,0000011101010101,1877,4552
O,6430,0001100100011110,0000011101010110,1878,4552
O,6431,0001100100011111,0000011101010111,1879,4552
O,6432,0001100100100000,0000011101011000,1880,4552
O,6433,0001100100100001,0000011101011001,1881,4552
O,6434,0001100100100010,0000011101011010,1882,4552
O,6435,0001100100100011,0000011101011011,1883,4552
O,6436,0001100100100100,0000011101011100,1884,4552
O,6437,0001100100100101,0000011101011101,1885,4552
O,6438,0001100100100110,0000011101011110,1886,4552
O,6439,0001100100100111,0000011101011111,1887,4552
O,6440,0001100100101000,0000011101100000,1888,4552
O,6441,0001100100101001,0000011101100001,1889,4552
O,6442,0001100100101010,0000011101100010,1890,4552
O,6443,0001100100101011,0000011101100011,1891,4552
O,6444,0001100100101100,0000011101100100,1892,4552
O,6445,0001100100101101,0000011101100101,1893,4552
O,6446,0001100100101110,0000011101100110,1894,4552
O,6447,0001100100101111,0000011101100111,1895,4552
O,6448,0001100100110000,0000011101101000,1896,4552
O,6449,0001100100110001,0000011101101001,1897,4552
O,6450,0001100100110010,0000011101101010,1898,4552
O,6451,0001100100110011,0000011101101011,1899,4552
O,6452,0001100100110100,0000011101101100,1900,4552
O,6453,0001100100110101,0000011101101101,1901,4552
O,6454,0001100100110110,0000011101101110,1902,4552
O,6455,0001100100110111,0000011101101111,1903,4552
O,6456,0001100100111000,0000011101110000,1904,4552
O,6457,0001100100111001,0000011101110001,1905,4552
O,6458,0001100100111010,0000011101110010,1906,4552
O,6459,0001100100111011,0000011101110011,1907,4552
O,6460,0001100100111100,0000011101110100,1908,4552
O,6461,0001100100111101,0000011101110101,1909,4552
O,6462,0001100100111110,0000011101110110,1910,4552
O,6463,0001100100111111,0000011101110111,1911,4552
O,6464,0001100101000000,0000011101111000,1912,4552
O,6465,0001100101000001,0000011101111001,1913,4552
O,6466,0001100101000010,0000011101111010,1914,4552
O,6467,0001100101000011,0000011101111011,1915,4552
O,6468,0001100101000100,0000011101111100,1916,4552
O,6469,0001100101000101,0000011101111101,1917,4552
O,6470,0001100101000110,0000011101111110,1918,4552
O,6471,0001100101000111,0000011101111111,1919,4552
O,6472,0001100101001000,0000011110000000,1920,4552
O,6473,0001100101001001,0000011110000001,1921,4552
O,6474,0001100101001010,0000011110000010,1922,4552
O,6475,0001100101001011,0000011110000011,1923,4552
O,6476,0001100101001100,0000011110000100,1924,4552
O,6477,0001100101001101,0000011110000101,1925,4552
O,6478,0001100101001110,0000011110000110,1926,4552
O,6479,0001100101001111,0000011110000111,1927,4552
O,6480,0001100101010000,0000011110001000,1928,4552
O,6481,0001100101010001,0000011110001001,1929,4552
O,6482,0001100101010010,0000011110001010,1930,4552
O,6483,0001100101010011,0000011110001011,1931,4552
O,6484,0001100101010100,0000011110001100,1932,4552
O,6485,0001100101010101,0000011110001101,1933,4552
O,6486,0001100101010110,0000011110001110,1934,4552
O,6487,0001100101010111,0000011110001111,1935,4552
O,6488,0001100101011000,0000011110010000,1936,4552
O,6489,0001100101011001,0000011110010001,1937,4552
O,6490,0001100101011010,0000011110010010,1938,4552
O,6491,0001100101011011,0000011110010011,1939,4552
O,6492,0001100101011100,0000011110010100,1940,4552
O,6493,0001100101011101,0000011110010101,1941,4552
O,6494,0001100101011110,0000011110010110,1942,4552
O,6495,0001100101011111,0000011110010111,1943,4552
O,6496,0001100101100000,0000011110011000,1944,4552
O,6497,0001100101100001,0000011110011001,1945,4552
O,6498,0001100101100010,0000011110011010,1946,4552
O,6499,0001100101100011,0000011110011011,1947,4552
O,6500,0001100101100100,0000011110011100,1948,4552
O,6501,0001100101100101,0000011110011101,1949,4552
O,6502,0001100101100110,0000011110011110,1950,4552
O,6503,0001100101100111,0000011110011111,1951,4552
O,6504,0001100101101000,0000011110100000,1952,4552
O,6505,0001100101101001,0000011110100001,1953,4552
O,6506,0001100101101010,0000011110100010,1954,4552
O,6507,0001100101101011,0000011110100011,1955,4552
O,6508,0001100101101100,0000011110100100,1956,4552
O,6509,0001100101101101,0000011110100101,1957,4552
O,6510,0001100101101110,0000011110100110,1958,4552
O,6511,0001100101101111,0000011110100111,1959,4552
O,6512,0001100101110000,0000011110101000,1960,4552
O,6513,0001100101110001,0000011110101001,1961,4552
O,6514,0001100101110010,0000011110101010,1962,4552
O,6515,0001100101110011,0000011110101011,1963,4552
O,6516,0001100101110100,0000011110101100,1964,4552
O,6517,0001100101110101,0000011110101101,1965,4552
O,6518,0001100101110110,0000011110101110,1966,4552
O,6519,0001100101110111,0000011110101111,1967,4552
O,6520,0001100101111000,0000011110110000,1968,4552
O,6521,0001100101111001,0000011110110001,1969,4552
O,6522,0001100101111010,0000011110110010,1970,4552
O,6523,0001100101111011,0000011110110011,1971,4552
O,6524,0001100101111100,0000011110110100,1972,4552
O,6525,0001100101111101,0000011110110101,1973,4552
O,6526,0001100101111110,0000011110110110,1974,4552
O,6527,0001100101111111,0000011110110111,1975,4552
O,6528,0001100110000000,0000011110111000,1976,4552
O,6529,0001100110000001,0000011110111001,1977,4552
O,6530,0001100110000010,0000011110111010,1978,4552
O,6531,0001100110000011,0000011110111011,1979,4552
O,6532,0001100110000100,0000011110111100,1980,4552
O,6533,0001100110000101,0000011110111101,1981,4552
O,6534,0001100110000110,0000011110111110,1982,4552
O,6535,0001100110000111,0000011110111111,1983,4552
O,6536,0001100110001000,0000011111000000,1984,4552
O,6537,0001100110001001,0000011111000001,1985,4552
O,6538,0001100110001010,0000011111000010,1986,4552
O,6539,0001100110001011,0000011111000011,1987,4552
O,6540,0001100110001100,0000011111000100,1988,4552
O,6541,0001100110001101,0000011111000101,1989,4552
O,6542,0001100110001110,0000011111000110,1990,4552
O,6543,0001100110001111,0000011111000111,1991,4552
O,6544,0001100110010000,0000011111001000,1992,4552
M,164,0000000010100100,0000011111001001,1993,-1829
O,6545,0001100110010001,0000011111001010,1994,4551
M,165,0000000010100101,0000011111001011,1995,-1830
O,6546,0001100110010010,0000011111001100,1996,4550
O,6547,0001100110010011,0000011111001101,1997,4550
O,6548,0001100110010100,0000011111001110,1998,4550
O,6549,0001100110010101,0000011111001111,1999,4550
O,6550,0001100110010110,0000011111010000,2000,4550
O,6551,0001100110010111,0000011111010001,2001,4550
O,6552,0001100110011000,0000011111010010,2002,4550
O,6553,0001100110011001,0000011111010011,2003,4550
O,6554,0001100110011010,0000011111010100,2004,4550
O,6555,0001100110011011,0000011111010101,2005,4550
O,6556,0001100110011100,0000011111010110,2006,4550
O,6557,0001100110011101,0000011111010111,2007,4550
O,6558,0001100110011110,0000011111011000,2008,4550
O,6559,0001100110011111,0000011111011001,2009,4550
M,166,0000000010100110,0000011111011010,2010,-1844
O,6560,0001100110100000,0000011111011011,2011,4549
O,6561,0001100110100001,0000011111011100,2012,4549
O,6562,0001100110100010,0000011111011101,2013,4549
O,6563,0001100110100011,0000011111011110,2014,4549
O,6564,0001100110100100,0000011111011111,2015,4549
O,6565,0001100110100101,0000011111100000,2016,4549
O,6566,0001100110100110,0000011111100001,2017,4549
O,6567,0001100110100111,0000011111100010,2018,4549
O,6568,0001100110101000,0000011111100011,2019,4549
O,6569,0001100110101001,0000011111100100,2020,4549
O,6570,0001100110101010,0000011111100101,2021,4549
O,6571,0001100110101011,0000011111100110,2022,4549
O,6572,0001100110101100,0000011111100111,2023,4549
O,6573,0001100110101101,0000011111101000,2024,4549
O,6574,0001100110101110,0000011111101001,2025,4549
O,6575,0001100110101111,0000011111101010,2026,4549
O,6576,0001100110110000,0000011111101011,2027,4549
O,6577,0001100110110001,0000011111101100,2028,4549
O,6578,0001100110110010,0000011111101101,2029,4549
O,6579,0001100110110011,0000011111101110,2030,4549
O,6580,0001100110110100,0000011111101111,2031,4549
O,6581,0001100110110101,0000011111110000,2032,4549
O,6582,0001100110110110,0000011111110001,2033,4549
M,167,0000000010100111,0000011111110010,2034,-1867
O,6583,0001100110110111,0000011111110011,2035,4548
O,6584,0001100110111000,0000011111110100,2036,4548
O,6585,0001100110111001,0000011111110101,2037,4548
O,6586,0001100110111010,0000011111110110,2038,4548
O,6587,0001100110111011,0000011111110111,2039,4548
O,6588,0001100110111100,0000011111111000,2040,4548
O,6589,0001100110111101,0000011111111001,2041,4548
O,6590,0001100110111110,0000011111111010,2042,4548
O,6591,0001100110111111,0000011111111011,2043,4548
O,6592,0001100111000000,0000011111111100,2044,4548
O,6593,0001100111000001,0000011111111101,2045,4548
O,6594,0001100111000010,0000011111111110,2046,4548
O,6595,0001100111000011,0000011111111111,2047,4548
O,6596,0001100111000100,0000100000000000,2048,4548
O,6597,0001100111000101,0000100000000001,2049,4548
O,6598,0001100111000110,0000100000000010,2050,4548
O,6599,0001100111000111,0000100000000011,2051,4548
O,6600,0001100111001000,0000100000000100,2052,4548
O,6601,0001100111001001,0000100000000101,2053,4548
O,6602,0001100111001010,0000100000000110,2054,4548
O,6603,0001100111001011,0000100000000111,2055,4548
O,6604,0001100111001100,0000100000001000,2056,4548
O,6605,0001100111001101,0000100000001001,2057,4548
O,6606,0001100111001110,0000100000001010,2058,4548
O,6607,0001100111001111,0000100000001011,2059,4548
O,6608,0001100111010000,0000100000001100,2060,4548
O,6609,0001100111010001,0000100000001101,2061,4548
O,6610,0001100111010010,0000100000001110,2062,4548
O,6611,0001100111010011,0000100000001111,2063,4548
O,6612,0001100111010100,0000100000010000,2064,4548
O,6613,0001100111010101,0000100000010001,2065,4548
O,6614,0001100111010110,0000100000010010,2066,4548
O,6615,0001100111010111,0000100000010011,2067,4548
O,6616,0001100111011000,0000100000010100,2068,4548
O,6617,0001100111011001,0000100000010101,2069,4548
O,6618,0001100111011010,0000100000010110,2070,4548
O,6619,0001100111011011,0000100000010111,2071,4548
O,6620,0001100111011100,0000100000011000,2072,4548
O,6621,0001100111011101,0000100000011001,2073,4548
O,6622,0001100111011110,0000100000011010,2074,4548
O,6623,0001100111011111,0000100000011011,2075,4548
O,6624,0001100111100000,0000100000011100,2076,4548
O,6625,0001100111100001,0000100000011101,2077,4548
O,6626,0001100111100010,0000100000011110,2078,4548
O,6627,0001100111100011,0000100000011111,2079,4548
O,6628,0001100111100100,0000100000100000,2080,4548
O,6629,0001100111100101,0000100000100001,2081,4548
O,6630,0001100111100110,0000100000100010,2082,4548
O,6631,0001100111100111,0000100000100011,2083,4548
O,6632,0001100111101000,0000100000100100,2084,4548
O,6633,0001100111101001,0000100000100101,2085,4548
O,6634,0001100111101010,0000100000100110,2086,4548
O,6635,0001100111101011,0000100000100111,2087,4548
O,6636,0001100111101100,0000100000101000,2088,4548
O,6637,0001100111101101,0000100000101001,2089,4548
O,6638,0001100111101110,0000100000101010,2090,4548
O,6639,0001100111101111,0000100000101011,2091,4548
O,6640,0001100111110000,0000100000101100,2092,4548
O,6641,0001100111110001,0000100000101101,2093,4548
O,6642,0001100111110010,0000100000101110,2094,4548
O,6643,0001100111110011,0000100000101111,2095,4548
O,6644,0001100111110100,0000100000110000,2096,4548
O,6645,0001100111110101,0000100000110001,2097,4548
O,6646,0001100111110110,0000100000110010,2098,4548
O,6647,0001100111110111,0000100000110011,2099,4548
M,168,0000000010101000,0000100000110100,2100,-1932
O,6648,0001100111111000,0000100000110101,2101,4547
M,169,0000000010101001,0000100000110110,2102,-1933
O,6649,0001100111111001,0000100000110111,2103,4546
O,6650,0001100111111010,0000100000111000,2104,4546
O,6651,0001100111111011,0000100000111001,2105,4546
O,6652,0001100111111100,0000100000111010,2106,4546
O,6653,0001100111111101,0000100000111011,2107,4546
M,170,0000000010101010,0000100000111100,2108,-1938
O,6654,0001100111111110,0000100000111101,2109,4545
O,6655,0001100111111111,0000100000111110,2110,4545
O,6656,0001101000000000,0000100000111111,2111,4545
O,6657,0001101000000001,0000100001000000,2112,4545
O,6658,0001101000000010,0000100001000001,2113,4545
O,6659,0001101000000011,0000100001000010,2114,4545
O,6660,0001101000000100,0000100001000011,2115,4545
O,6661,0001101000000101,0000100001000100,2116,4545
O,6662,0001101000000110,0000100001000101,2117,4545
O,6663,0001101000000111,0000100001000110,2118,4545
O,6664,0001101000001000,0000100001000111,2119,4545
O,6665,0001101000001001,0000100001001000,2120,4545
O,6666,0001101000001010,0000100001001001,2121,4545
O,6667,0001101000001011,0000100001001010,2122,4545
O,6668,0001101000001100,0000100001001011,2123,4545
O,6669,0001101000001101,0000100001001100,2124,4545
O,6670,0001101000001110,0000100001001101,2125,4545
O,6671,0001101000001111,0000100001001110,2126,4545
O,6672,0001101000010000,0000100001001111,2127,4545
O,6673,0001101000010001,0000100001010000,2128,4545
O,6674,0001101000010010,0000100001010001,2129,4545
O,6675,0001101000010011,0000100001010010,2130,4545
O,6676,0001101000010100,0000100001010011,2131,4545
O,6677,0001101000010101,0000100001010100,2132,4545
O,6678,0001101000010110,0000100001010101,2133,4545
O,6679,0001101000010111,0000100001010110,2134,4545
O,6680,0001101000011000,0000100001010111,2135,4545
O,6681,0001101000011001,0000100001011000,2136,4545
O,6682,0001101000011010,0000100001011001,2137,4545
O,6683,0001101000011011,0000100001011010,2138,4545
O,6684,0001101000011100,0000100001011011,2139,4545
O,6685,0001101000011101,0000100001011100,2140,4545
O,6686,0001101000011110,0000100001011101,2141,4545
O,6687,0001101000011111,0000100001011110,2142,4545
O,6688,0001101000100000,0000100001011111,2143,4545
O,6689,0001101000100001,0000100001100000,2144,4545
O,6690,0001101000100010,0000100001100001,2145,4545
O,6691,0001101000100011,0000100001100010,2146,4545
O,6692,0001101000100100,0000100001100011,2147,4545
O,6693,0001101000100101,0000100001100100,2148,4545
O,6694,0001101000100110,0000100001100101,2149,4545
O,6695,0001101000100111,0000100001100110,2150,4545
O,6696,0001101000101000,0000100001100111,2151,4545
O,6697,0001101000101001,0000100001101000,2152,4545
O,6698,0001101000101010,0000100001101001,2153,4545
O,6699,0001101000101011,0000100001101010,2154,4545
O,6700,0001101000101100,0000100001101011,2155,4545
O,6701,0001101000101101,0000100001101100,2156,4545
O,6702,0001101000101110,0000100001101101,2157,4545
O,6703,0001101000101111,0000100001101110,2158,4545
O,6704,0001101000110000,0000100001101111,2159,4545
O,6705,0001101000110001,0000100001110000,2160,4545
O,6706,0001101000110010,0000100001110001,2161,4545
O,6707,0001101000110011,0000100001110010,2162,4545
O,6708,0001101000110100,0000100001110011,2163,4545
O,6709,0001101000110101,0000100001110100,2164,4545
M,171,0000000010101011,0000100001110101,2165,-1994
O,6710,0001101000110110,0000100001110110,2166,4544
O,6711,0001101000110111,0000100001110111,2167,4544
O,6712,0001101000111000,0000100001111000,2168,4544
O,6713,0001101000111001,0000100001111001,2169,4544
O,6714,0001101000111010,0000100001111010,2170,4544
O,6715,0001101000111011,0000100001111011,2171,4544
O,6716,0001101000111100,0000100001111100,2172,4544
O,6717,0001101000111101,0000100001111101,2173,4544
O,6718,0001101000111110,0000100001111110,2174,4544
O,6719,0001101000111111,0000100001111111,2175,4544
O,6720,0001101001000000,0000100010000000,2176,4544
O,6721,0001101001000001,0000100010000001,2177,4544
O,6722,0001101001000010,0000100010000010,2178,4544
O,6723,0001101001000011,0000100010000011,2179,4544
O,6724,0001101001000100,0000100010000100,2180,4544
O,6725,0001101001000101,0000100010000101,2181,4544
O,6726,0001101001000110,0000100010000110,2182,4544
O,6727,0001101001000111,0000100010000111,2183,4544
O,6728,0001101001001000,0000100010001000,2184,4544
O,6729,0001101001001001,0000100010001001,2185,4544
O,6730,0001101001001010,0000100010001010,2186,4544
O,6731,0001101001001011,0000100010001011,2187,4544
O,6732,0001101001001100,0000100010001100,2188,4544
O,6733,0001101001001101,0000100010001101,2189,4544
O,6734,0001101001001110,0000100010001110,2190,4544
O,6735,0001101001001111,0000100010001111,2191,4544
O,6736,0001101001010000,0000100010010000,2192,4544
O,6737,0001101001010001,0000100010010001,2193,4544
O,6738,0001101001010010,0000100010010010,2194,4544
O,6739,0001101001010011,0000100010010011,2195,4544
O,6740,0001101001010100,0000100010010100,2196,4544
O,6741,0001101001010101,0000100010010101,2197,4544
O,6742,0001101001010110,0000100010010110,2198,4544
O,6743,0001101001010111,0000100010010111,2199,4544
O,6744,0001101001011000,0000100010011000,2200,4544
O,6745,0001101001011001,0000100010011001,2201,4544
O,6746,0001101001011010,0000100010011010,2202,4544
O,6747,0001101001011011,0000100010011011,2203,4544
O,6748,0001101001011100,0000100010011100,2204,4544
O,6749,0001101001011101,0000100010011101,2205,4544
O,6750,0001101001011110,0000100010011110,2206,4544
O,6751,0001101001011111,0000100010011111,2207,4544
O,6752,0001101001100000,0000100010100000,2208,4544
O,6753,0001101001100001,0000100010100001,2209,4544
O,6754,0001101001100010,0000100010100010,2210,4544
O,6755,0001101001100011,0000100010100011,2211,4544
O,6756,0001101001100100,0000100010100100,2212,4544
O,6757,0001101001100101,0000100010100101,2213,4544
O,6758,0001101001100110,0000100010100110,2214,4544
O,6759,0001101001100111,0000100010100111,2215,4544
O,6760,0001101001101000,0000100010101000,2216,4544
O,6761,0001101001101001,0000100010101001,2217,4544
O,6762,0001101001101010,0000100010101010,2218,4544
O,6763,0001101001101011,0000100010101011,2219,4544
O,6764,0001101001101100,0000100010101100,2220,4544
O,6765,0001101001101101,0000100010101101,2221,4544
O,6766,0001101001101110,0000100010101110,2222,4544
O,6767,0001101001101111,0000100010101111,2223,4544
O,6768,0001101001110000,0000100010110000,2224,4544
O,6769,0001101001110001,0000100010110001,2225,4544
O,6770,0001101001110010,0000100010110010,2226,4544
O,6771,0001101001110011,0000100010110011,2227,4544
O,6772,0001101001110100,0000100010110100,2228,4544
O,6773,0001101001110101,0000100010110101,2229,4544
O,6774,0001101001110110,0000100010110110,2230,4544
O,6775,0001101001110111,0000100010110111,2231,4544
O,6776,0001101001111000,0000100010111000,2232,4544
O,6777,0001101001111001,0000100010111001,2233,4544
O,6778,0001101001111010,0000100010111010,2234,4544
O,6779,0001101001111011,0000100010111011,2235,4544
O,6780,0001101001111100,0000100010111100,2236,4544
O,6781,0001101001111101,0000100010111101,2237,4544
O,6782,0001101001111110,0000100010111110,2238,4544
O,6783,0001101001111111,0000100010111111,2239,4544
O,6784,0001101010000000,0000100011000000,2240,4544
O,6785,0001101010000001,0000100011000001,2241,4544
O,6786,0001101010000010,0000100011000010,2242,4544
O,6787,0001101010000011,0000100011000011,2243,4544
O,6788,0001101010000100,0000100011000100,2244,4544
O,6789,0001101010000101,0000100011000101,2245,4544
O,6790,0001101010000110,0000100011000110,2246,4544
O,6791,0001101010000111,0000100011000111,2247,4544
O,6792,0001101010001000,0000100011001000,2248,4544
O,6793,0001101010001001,0000100011001001,2249,4544
O,6794,0001101010001010,0000100011001010,2250,4544
O,6795,0001101010001011,0000100011001011,2251,4544
O,6796,0001101010001100,0000100011001100,2252,4544
O,6797,0001101010001101,0000100011001101,2253,4544
O,6798,0001101010001110,0000100011001110,2254,4544
O,6799,0001101010001111,0000100011001111,2255,4544
O,6800,0001101010010000,0000100011010000,2256,4544
O,6801,0001101010010001,0000100011010001,2257,4544
O,6802,0001101010010010,0000100011010010,2258,4544
O,6803,0001101010010011,0000100011010011,2259,4544
O,6804,0001101010010100,0000100011010100,2260,4544
O,6805,0001101010010101,0000100011010101,2261,4544
O,6806,0001101010010110,0000100011010110,2262,4544
O,6807,0001101010010111,0000100011010111,2263,4544
O,6808,0001101010011000,0000100011011000,2264,4544
O,6809,0001101010011001,0000100011011001,2265,4544
O,6810,0001101010011010,0000100011011010,2266,4544
O,6811,0001101010011011,0000100011011011,2267,4544
O,6812,0001101010011100,0000100011011100,2268,4544
O,6813,0001101010011101,0000100011011101,2269,4544
O,6814,0001101010011110,0000100011011110,2270,4544
O,6815,0001101010011111,0000100011011111,2271,4544
O,6816,0001101010100000,0000100011100000,2272,4544
O,6817,0001101010100001,0000100011100001,2273,4544
O,6818,0001101010100010,0000100011100010,2274,4544
O,6819,0001101010100011,0000100011100011,2275,4544
O,6820,0001101010100100,0000100011100100,2276,4544
O,6821,0001101010100101,0000100011100101,2277,4544
O,6822,0001101010100110,0000100011100110,2278,4544
O,6823,0001101010100111,0000100011100111,2279,4544
O,6824,0001101010101000,0000100011101000,2280,4544
O,6825,0001101010101001,0000100011101001,2281,4544
O,6826,0001101010101010,0000100011101010,2282,4544
O,6827,0001101010101011,0000100011101011,2283,4544
O,6828,0001101010101100,0000100011101100,2284,4544
O,6829,0001101010101101,0000100011101101,2285,4544
O,6830,0001101010101110,0000100011101110,2286,4544
O,6831,0001101010101111,0000100011101111,2287,4544
O,6832,0001101010110000,0000100011110000,2288,4544
O,6833,0001101010110001,0000100011110001,2289,4544
O,6834,0001101010110010,0000100011110010,2290,4544
O,6835,0001101010110011,0000100011110011,2291,4544
O,6836,0001101010110100,0000100011110100,2292,4544
M,172,0000000010101100,0000100011110101,2293,-2121
O,6837,0001101010110101,0000100011110110,2294,4543
M,173,0000000010101101,0000100011110111,2295,-2122
O,6838,0001101010110110,0000100011111000,2296,4542
O,6839,0001101010110111,0000100011111001,2297,4542
O,6840,0001101010111000,0000100011111010,2298,4542
O,6841,0001101010111001,0000100011111011,2299,4542
O,6842,0001101010111010,0000100011111100,2300,4542
O,6843,0001101010111011,0000100011111101,2301,4542
O,6844,0001101010111100,0000100011111110,2302,4542
O,6845,0001101010111101,0000100011111111,2303,4542
M,174,0000000010101110,0000100100000000,2304,-2130
M,175,0000000010101111,0000100100000001,2305,-2130
O,6846,0001101010111110,0000100100000010,2306,4540
M,176,0000000010110000,0000100100000011,2307,-2131
O,6847,0001101010111111,0000100100000100,2308,4539
O,6848,0001101011000000,0000100100000101,2309,4539
O,6849,0001101011000001,0000100100000110,2310,4539
O,6850,0001101011000010,0000100100000111,2311,4539
O,6851,0001101011000011,0000100100001000,2312,4539
O,6852,0001101011000100,0000100100001001,2313,4539
O,6853,0001101011000101,0000100100001010,2314,4539
O,6854,0001101011000110,0000100100001011,2315,4539
O,6855,0001101011000111,0000100100001100,2316,4539
O,6856,0001101011001000,0000100100001101,2317,4539
O,6857,0001101011001001,0000100100001110,2318,4539
O,6858,0001101011001010,0000100100001111,2319,4539
M,177,0000000010110001,0000100100010000,2320,-2143
O,6859,0001101011001011,0000100100010001,2321,4538
O,6860,0001101011001100,0000100100010010,2322,4538
O,6861,0001101011001101,0000100100010011,2323,4538
O,6862,0001101011001110,0000100100010100,2324,4538
O,6863,0001101011001111,0000100100010101,2325,4538
O,6864,0001101011010000,0000100100010110,2326,4538
O,6865,0001101011010001,0000100100010111,2327,4538
O,6866,0001101011010010,0000100100011000,2328,4538
O,6867,0001101011010011,0000100100011001,2329,4538
M,178,0000000010110010,0000100100011010,2330,-2152
O,6868,0001101011010100,0000100100011011,2331,4537
O,6869,0001101011010101,0000100100011100,2332,4537
O,6870,0001101011010110,0000100100011101,2333,4537
O,6871,0001101011010111,0000100100011110,2334,4537
O,6872,0001101011011000,0000100100011111,2335,4537
O,6873,0001101011011001,0000100100100000,2336,4537
M,179,0000000010110011,0000100100100001,2337,-2158
O,6874,0001101011011010,0000100100100010,2338,4536
M,180,0000000010110100,0000100100100011,2339,-2159
O,6875,0001101011011011,0000100100100100,2340,4535
O,6876,0001101011011100,0000100100100101,2341,4535
O,6877,0001101011011101,0000100100100110,2342,4535
O,6878,0001101011011110,0000100100100111,2343,4535
O,6879,0001101011011111,0000100100101000,2344,4535
M,181,0000000010110101,0000100100101001,2345,-2164
O,6880,0001101011100000,0000100100101010,2346,4534
O,6881,0001101011100001,0000100100101011,2347,4534
O,6882,0001101011100010,0000100100101100,2348,4534
O,6883,0001101011100011,0000100100101101,2349,4534
O,6884,0001101011100100,0000100100101110,2350,4534
O,6885,0001101011100101,0000100100101111,2351,4534
M,182,0000000010110110,0000100100110000,2352,-2170
M,183,0000000010110111,0000100100110001,2353,-2170
O,6886,0001101011100110,0000100100110010,2354,4532
M,184,0000000010111000,0000100100110011,2355,-2171
O,6887,0001101011100111,0000100100110100,2356,4531
O,6888,0001101011101000,0000100100110101,2357,4531
O,6889,0001101011101001,0000100100110110,2358,4531
O,6890,0001101011101010,0000100100110111,2359,4531
O,6891,0001101011101011,0000100100111000,2360,4531
O,6892,0001101011101100,0000100100111001,2361,4531
O,6893,0001101011101101,0000100100111010,2362,4531
O,6894,0001101011101110,0000100100111011,2363,4531
O,6895,0001101011101111,0000100100111100,2364,4531
O,6896,0001101011110000,0000100100111101,2365,4531
O,6897,0001101011110001,0000100100111110,2366,4531
O,6898,0001101011110010,0000100100111111,2367,4531
M,185,0000000010111001,0000100101000000,2368,-2183
M,186,0000000010111010,0000100101000001,2369,-2183
O,6899,0001101011110011,0000100101000010,2370,4529
M,187,0000000010111011,0000100101000011,2371,-2184
O,6900,0001101011110100,0000100101000100,2372,4528
O,6901,0001101011110101,0000100101000101,2373,4528
O,6902,0001101011110110,0000100101000110,2374,4528
O,6903,0001101011110111,0000100101000111,2375,4528
O,6904,0001101011111000,0000100101001000,2376,4528
O,6905,0001101011111001,0000100101001001,2377,4528
O,6906,0001101011111010,0000100101001010,2378,4528
O,6907,0001101011111011,0000100101001011,2379,4528
O,6908,0001101011111100,0000100101001100,2380,4528
O,6909,0001101011111101,0000100101001101,2381,4528
O,6910,0001101011111110,0000100101001110,2382,4528
O,6911,0001101011111111,0000100101001111,2383,4528
O,6912,0001101100000000,0000100101010000,2384,4528
M,188,0000000010111100,0000100101010001,2385,-2197
O,6913,0001101100000001,0000100101010010,2386,4527
M,189,0000000010111101,0000100101010011,2387,-2198
O,6914,0001101100000010,0000100101010100,2388,4526
O,6915,0001101100000011,0000100101010101,2389,4526
